categorie,kw,volume,tld,hl,importance,url,pixelPos,status,tendance,pos,13 sept. 22,30 mars 22,20 mai 2021,?,8 déc 2020,23 nov 20,29 sept 2020,22 sept 2020,12 Sept,1 Sept,Aou 23,Aou 7,Jul 28,Jul 9,Jul 5 2020,Juine 27 2020,Juine 18 2020,May 31 2020,May 9 2020,Apr 22 2020
activité,escape game vercors,0,fr,fr,9,https://piedvert.com/escape-game,"184,1",.,=,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
activité – neige,escape game raquette,0,fr,fr,9,https://piedvert.com/escape-game-raquette,"184,1",.,=,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
scolaire,sortie maternelle vercors,0,fr,fr,5,https://piedvert.com/sortie-scolaire,"184,1",.,=,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
scolaire,sortie primaire vercors,0,fr,fr,5,https://piedvert.com/sortie-scolaire,"184,1",.,=,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
scolaire,projet pédagogique montagne,0,fr,fr,1,https://piedvert.com/projet-educatif,"268,2",.,=,,2,2,2,1,1,2,2,2,2,2,2,2,1,2,4,4,4,4,6,7
faune,marmotte vercors,0,fr,fr,5,https://piedvert.com/marmotte,"312,1",.,=,,1,1,1,1,1,1,1,1,1,2,2,7,11,13,10,13,13,11,64,
rando,rando famille vercors,0,fr,fr,8,https://piedvert.com/rando-vercors-famille,"312,2",.,=,,2,2,3,,,,,,,,,,,,,,,,,
scolaire,voyage scolaire vercors,0,fr,fr,8,https://piedvert.com/voyage-scolaire,"312,2",.,+,,2,8,4,9,5,5,5,5,5,7,10,17,8,14,16,9,9,9,8,13
faune,chamois vercors,0,fr,fr,5,https://piedvert.com/chamois,"336,1",.,=,,1,1,1,1,1,1,1,1,1,2,1,2,1,4,4,4,7,7,9,10
territoire,automne vercors,0,fr,fr,5,https://piedvert.com/automne-vercors,"336,1",.,=,,1,1,1,1,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3
évènement – evg,evjf vercors,0,fr,fr,5,https://piedvert.com/evjf-nature,"354,2",.,+,,2,3,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,5,9,10
scolaire,éducation environnement vercors,0,fr,fr,5,https://piedvert.com/education-environnement,"426,3",.,=,,3,3,2,3,2,3,1,2,2,3,3,4,5,4,3,5,5,4,6,6
territoire,transport commun vercors,0,fr,fr,3,https://piedvert.com/mobilite-douce,"441,3",.,+,,3,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,8,10,8
scolaire,animaux vercors,10,fr,fr,5,https://piedvert.com/sortie-nature,"489,2",.,+,,2,3,1,2,2,2,2,3,2,1,4,4,5,8,8,8,9,9,8,75
rando,sommet vercors,110,fr,fr,5,https://piedvert.com/sommet-vercors,"504,1",.,=,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
activité,activité nature vercors,0,fr,fr,5,https://piedvert.com/activite-nature,"523,2",.,+,,2,3,3,2,2,2,1,2,2,2,3,3,6,6,6,6,13,10,9,14
faune,loup vercors,170,fr,fr,10,https://piedvert.com/loup-vercors,"555,2",.,-,,2,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,3,3,6
